scrape_date,source,source_url,commodity,min_price,max_price,avg_price,change_percent
2026-05-06,"Department of Agricultural Marketing, Bangladesh",https://market.dam.gov.bd/market_daily_price_report?L=E,Marquee content start Aman-Fine,72,75,73.5,0
2026-05-06,"Department of Agricultural Marketing, Bangladesh",https://market.dam.gov.bd/market_daily_price_report?L=E,Aman-Medium,56,60,58,0
2026-05-06,"Department of Agricultural Marketing, Bangladesh",https://market.dam.gov.bd/market_daily_price_report?L=E,Aman-Coarse,48,50,49,0
2026-05-06,"Department of Agricultural Marketing, Bangladesh",https://market.dam.gov.bd/market_daily_price_report?L=E,Boro-Fine,66,70,68,0
2026-05-06,"Department of Agricultural Marketing, Bangladesh",https://market.dam.gov.bd/market_daily_price_report?L=E,Boro-Medium,55,57,56,0
2026-05-06,"Department of Agricultural Marketing, Bangladesh",https://market.dam.gov.bd/market_daily_price_report?L=E,Boro-Coarse,47,49,48,0
2026-05-06,"Department of Agricultural Marketing, Bangladesh",https://market.dam.gov.bd/market_daily_price_report?L=E,Ata (packet),58,61,59.5,0
2026-05-06,"Department of Agricultural Marketing, Bangladesh",https://market.dam.gov.bd/market_daily_price_report?L=E,Farm-raised Hen,162,167,164.5,0
2026-05-06,"Department of Agricultural Marketing, Bangladesh",https://market.dam.gov.bd/market_daily_price_report?L=E,Beef,729,750,739.5,0
2026-05-06,"Department of Agricultural Marketing, Bangladesh",https://market.dam.gov.bd/market_daily_price_report?L=E,Egg Farm-Red,47,48,47.5,0
2026-05-06,"Department of Agricultural Marketing, Bangladesh",https://market.dam.gov.bd/market_daily_price_report?L=E,Sugar (Local),132,135,133.5,0
2026-05-06,"Department of Agricultural Marketing, Bangladesh",https://market.dam.gov.bd/market_daily_price_report?L=E,Iodized Salt (Packed),32,40,36,0
2026-05-06,"Department of Agricultural Marketing, Bangladesh",https://market.dam.gov.bd/market_daily_price_report?L=E,Mung,122,128,125,0
2026-05-06,"Department of Agricultural Marketing, Bangladesh",https://market.dam.gov.bd/market_daily_price_report?L=E,Gram-Whole,85,90,87.5,0
2026-05-06,"Department of Agricultural Marketing, Bangladesh",https://market.dam.gov.bd/market_daily_price_report?L=E,Soybean,163,165,164,0
2026-05-06,"Department of Agricultural Marketing, Bangladesh",https://market.dam.gov.bd/market_daily_price_report?L=E,Onion-local,60,64,62,0
2026-05-06,"Department of Agricultural Marketing, Bangladesh",https://market.dam.gov.bd/market_daily_price_report?L=E,Garlic-local,173,186,179.5,0
2026-05-06,"Department of Agricultural Marketing, Bangladesh",https://market.dam.gov.bd/market_daily_price_report?L=E,Garlic-Imported,192,204,198,0
2026-05-06,"Department of Agricultural Marketing, Bangladesh",https://market.dam.gov.bd/market_daily_price_report?L=E,Green Chili,218,237,227.5,0
2026-05-06,"Department of Agricultural Marketing, Bangladesh",https://market.dam.gov.bd/market_daily_price_report?L=E,Ginger-local,154,174,164,0
2026-05-06,"Department of Agricultural Marketing, Bangladesh",https://market.dam.gov.bd/market_daily_price_report?L=E,Ginger-Imported,167,186,176.5,0
2026-05-06,"Department of Agricultural Marketing, Bangladesh",https://market.dam.gov.bd/market_daily_price_report?L=E,Mutton,900,1100,1000,0
