date,country,adm1_name,adm2_name,mkt_name,commodity,currency,price_bdt,source
2010-01-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,55.14,Synthetic (Realistic Bangladesh Data)
2010-02-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,51.04,Synthetic (Realistic Bangladesh Data)
2010-03-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,49.93,Synthetic (Realistic Bangladesh Data)
2010-04-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,48.8,Synthetic (Realistic Bangladesh Data)
2010-05-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,49.48,Synthetic (Realistic Bangladesh Data)
2010-06-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,51.24,Synthetic (Realistic Bangladesh Data)
2010-07-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,56.96,Synthetic (Realistic Bangladesh Data)
2010-08-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,55.28,Synthetic (Realistic Bangladesh Data)
2010-09-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,56.76,Synthetic (Realistic Bangladesh Data)
2010-10-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,49.8,Synthetic (Realistic Bangladesh Data)
2010-11-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,50.32,Synthetic (Realistic Bangladesh Data)
2010-12-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,55.06,Synthetic (Realistic Bangladesh Data)
2011-01-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,53.81,Synthetic (Realistic Bangladesh Data)
2011-02-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,54.57,Synthetic (Realistic Bangladesh Data)
2011-03-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,52.15,Synthetic (Realistic Bangladesh Data)
2011-04-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,51.73,Synthetic (Realistic Bangladesh Data)
2011-05-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,51.38,Synthetic (Realistic Bangladesh Data)
2011-06-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,50.32,Synthetic (Realistic Bangladesh Data)
2011-07-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,53.62,Synthetic (Realistic Bangladesh Data)
2011-08-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,61.14,Synthetic (Realistic Bangladesh Data)
2011-09-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,56.11,Synthetic (Realistic Bangladesh Data)
2011-10-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,50.14,Synthetic (Realistic Bangladesh Data)
2011-11-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,51.02,Synthetic (Realistic Bangladesh Data)
2011-12-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,56.51,Synthetic (Realistic Bangladesh Data)
2012-01-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,62.94,Synthetic (Realistic Bangladesh Data)
2012-02-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,57.58,Synthetic (Realistic Bangladesh Data)
2012-03-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,55.07,Synthetic (Realistic Bangladesh Data)
2012-04-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,51.03,Synthetic (Realistic Bangladesh Data)
2012-05-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,55.69,Synthetic (Realistic Bangladesh Data)
2012-06-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,56.66,Synthetic (Realistic Bangladesh Data)
2012-07-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,62,Synthetic (Realistic Bangladesh Data)
2012-08-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,63.62,Synthetic (Realistic Bangladesh Data)
2012-09-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,61.92,Synthetic (Realistic Bangladesh Data)
2012-10-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,55.05,Synthetic (Realistic Bangladesh Data)
2012-11-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,55.19,Synthetic (Realistic Bangladesh Data)
2012-12-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,54.86,Synthetic (Realistic Bangladesh Data)
2013-01-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,61.56,Synthetic (Realistic Bangladesh Data)
2013-02-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,60.27,Synthetic (Realistic Bangladesh Data)
2013-03-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,54.72,Synthetic (Realistic Bangladesh Data)
2013-04-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,57.09,Synthetic (Realistic Bangladesh Data)
2013-05-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,58.59,Synthetic (Realistic Bangladesh Data)
2013-06-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,60.57,Synthetic (Realistic Bangladesh Data)
2013-07-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,66.32,Synthetic (Realistic Bangladesh Data)
2013-08-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,64.61,Synthetic (Realistic Bangladesh Data)
2013-09-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,61.07,Synthetic (Realistic Bangladesh Data)
